User ID,Page,Action,Timestamp
5022,Product Page,View,2016-04-13 18:09:27
8751,Cart,Add to Cart,2024-02-09 18:09:27
1666,Product Page,Purchase,2021-04-14 18:09:27
1882,Checkout,View,2023-08-26 18:09:27
3872,Cart,Add to Cart,2017-02-21 18:09:27
5920,Profile,Purchase,2017-06-09 18:09:27
3163,Checkout,View,2023-02-11 18:09:27
880,Checkout,Logout,2017-03-19 18:09:27
9656,Profile,Add to Cart,2018-10-06 18:09:27
3452,Home,Logout,2022-05-07 18:09:27
2336,Profile,Add to Cart,2020-10-30 18:09:27
1243,Checkout,Purchase,2024-04-30 18:09:27
4489,Search,View,2020-11-12 18:09:27
4883,Search,Logout,2015-07-15 18:09:27
5980,Search,Add to Cart,2017-04-15 18:09:27
3706,Profile,Logout,2016-03-19 18:09:27
7548,Profile,Add to Cart,2018-10-05 18:09:27
3725,Cart,Purchase,2021-09-02 18:09:27
9444,Search,Purchase,2024-03-26 18:09:27
7231,Home,Click,2016-08-13 18:09:27
7286,Home,Click,2017-10-14 18:09:27
6479,Cart,Add to Cart,2015-08-06 18:09:27
9617,Checkout,Logout,2019-10-27 18:09:27
1628,Profile,Purchase,2016-11-16 18:09:27
2936,Cart,View,2019-03-11 18:09:27
7491,Checkout,Add to Cart,2024-01-15 18:09:27
7720,Search,Click,2024-01-16 18:09:27
4963,Search,Purchase,2019-05-02 18:09:27
9851,Search,Purchase,2023-09-07 18:09:27
1448,Search,Logout,2016-01-12 18:09:27
4437,Home,View,2016-03-23 18:09:27
140,Home,Logout,2016-04-12 18:09:27
800,Search,View,2024-05-12 18:09:27
935,Product Page,Add to Cart,2018-04-27 18:09:27
5597,Profile,View,2024-03-04 18:09:27
4139,Profile,Purchase,2024-07-18 18:09:27
9089,Cart,Logout,2024-03-15 18:09:27
2169,Profile,Purchase,2024-07-06 18:09:27
6923,Search,Logout,2018-07-20 18:09:27
2292,Profile,Add to Cart,2019-02-17 18:09:27
3502,Search,Purchase,2024-02-03 18:09:27
724,Product Page,Purchase,2024-08-11 18:09:27
6234,Cart,Add to Cart,2022-09-14 18:09:27
7390,Cart,Purchase,2017-09-27 18:09:27
2501,Profile,Logout,2020-01-30 18:09:27
569,Product Page,Add to Cart,2017-03-27 18:09:27
5560,Search,Logout,2022-08-15 18:09:27
2882,Cart,Purchase,2017-10-10 18:09:27
9705,Product Page,Purchase,2024-12-13 18:09:27
2783,Profile,Logout,2024-07-02 18:09:27
3717,Search,Purchase,2024-07-27 18:09:27
7044,Cart,Purchase,2018-01-31 18:09:27
9993,Home,Add to Cart,2019-12-15 18:09:27
9521,Product Page,Add to Cart,2023-01-22 18:09:27
4981,Checkout,Add to Cart,2020-02-20 18:09:27
3048,Search,Purchase,2024-12-29 18:09:27
3228,Profile,View,2021-02-02 18:09:27
4271,Home,Add to Cart,2017-10-12 18:09:27
2878,Search,Click,2021-03-20 18:09:27
9404,Home,Logout,2016-08-16 18:09:27
581,Checkout,Click,2024-10-08 18:09:27
7917,Search,Add to Cart,2022-12-14 18:09:27
2557,Cart,Logout,2023-02-26 18:09:27
4194,Profile,Click,2022-10-24 18:09:27
8525,Profile,Logout,2022-12-31 18:09:27
4347,Search,Add to Cart,2024-12-02 18:09:27
4696,Checkout,Add to Cart,2018-06-23 18:09:27
647,Home,Add to Cart,2022-10-14 18:09:27
9981,Checkout,Logout,2018-10-25 18:09:27
4831,Cart,View,2019-11-01 18:09:27
1720,Home,View,2018-08-11 18:09:27
7915,Profile,Click,2019-07-31 18:09:27
4437,Home,Purchase,2016-11-28 18:09:27
3932,Checkout,Purchase,2015-09-30 18:09:27
4685,Checkout,Click,2021-04-10 18:09:27
