activity,type,participants,price
Meditate for five minutes,relaxation,1,0.0
Uninstall unused apps from your devices,busywork,1,0.0
Learn to greet someone in a new language,education,1,0.1
Go on a long drive with no music,relaxation,1,0.1
Sit in the dark and listen to your favorite music with no distractions,relaxation,1,0.0
Organize your movie collection,busywork,1,0.0
Learn a new recipe,cooking,1,0.0
Visit a nearby museum,recreational,1,0.2
Make a new friend,social,1,0.0
Learn the periodic table,education,1,0.0
Pot some plants and put them around your house,relaxation,1,0.4
Learn how to play a new sport,recreational,1,0.1
Go on a long drive with no music,relaxation,1,0.1
Start a band,music,4,0.30000000000000004
Start a collection,recreational,1,0.0
Create and follow a savings plan,busywork,1,0.0
Play a game of tennis with a friend,social,2,0.1
Make homemade ice cream,cooking,1,0.2
Take your cat on a walk,relaxation,1,0.02
Have a picnic with some friends,social,3,0.1
Research a topic you're interested in,education,1,0.0
Mow your lawn,busywork,1,0.1
Prepare a dish from a foreign culture,cooking,1,0.2
Create or update your resume,busywork,1,0.0
Watch a movie you'd never usually watch,relaxation,1,0.15
Listen to a new podcast,relaxation,1,0.05
Configure two-factor authentication on your accounts,busywork,1,0.0
Contribute code or a monetary donation to an open-source software project,charity,1,0.1
Hold a video game tournament with some friends,social,4,0.0
Learn and play a new card game,recreational,1,0.0
Learn Kotlin,education,1,0.0
Write a song,music,1,0.0
Catch up on world news,recreational,1,0.05
Take your cat on a walk,relaxation,1,0.02
Invite some friends over for a game night,social,4,0.0
Learn how the internet works,education,1,0.0
Learn Express.js,education,1,0.1
Contribute code or a monetary donation to an open-source software project,charity,1,0.1
Go for a walk,relaxation,1,0.0
Bake pastries for you and your neighbor,cooking,1,0.4
Plan a vacation you've always wanted to take,relaxation,1,0.0
Start a collection,recreational,1,0.0
Play a game of Monopoly,social,4,0.2
Catch up on world news,recreational,1,0.05
Back up important computer files,busywork,1,0.2
Organize your movie collection,busywork,1,0.0
Make a couch fort,recreational,1,0.0
Start a family tree,social,1,0.0
Make a simple musical instrument,music,1,0.4
Visit a nearby museum,recreational,1,0.2
Draw and color a Mandala,relaxation,1,0.05
Clean out your closet and donate the clothes you've outgrown,charity,1,0.0
Learn Javascript,education,1,0.0
Volunteer and help out at a senior center,charity,1,0.0
Go to a music festival with some friends,social,4,0.4
Uninstall unused apps from your devices,busywork,1,0.0
Organize your dresser,busywork,1,0.0
Visit your past teachers,social,1,0.0
Write a note of appreciation to someone,social,1,0.0
Have a football scrimmage with some friends,social,8,0.0
Meditate for five minutes,relaxation,1,0.0
Give your pet ten minutes of focused attention,relaxation,1,0.0
Research a topic you're interested in,education,1,0.0
Have a football scrimmage with some friends,social,8,0.0
Go to a karaoke bar with some friends,social,4,0.5
Learn a new recipe,cooking,1,0.0
Make a new friend,social,1,0.0
Create or update your resume,busywork,1,0.0
Plant a tree,recreational,1,0.30000000000000004
Make a bucket list,busywork,1,0.0
Prepare a 72-hour kit,busywork,1,0.5
Read a formal research paper on an interesting subject,education,1,0.0
Organize your basement,busywork,1,0.0
Make a new friend,social,1,0.0
Make homemade ice cream,cooking,1,0.2
Make a new friend,social,1,0.0
Organize your pantry,busywork,1,0.0
Volunteer and help out at a senior center,charity,1,0.0
Organize a cluttered drawer,busywork,1,0.0
Make a to-do list for your week,busywork,1,0.0
Learn to sew on a button,education,1,0.05
Have a photo session with some friends,social,4,0.05
Look at your finances and find one way to save money,busywork,1,0.0
Prepare a dish from a foreign culture,cooking,1,0.2
Play a game of Monopoly,social,4,0.2
Find a charity and donate to it,charity,1,0.4
Match your storage containers with their lids,busywork,1,0.0
Shred old documents you don't need anymore,busywork,1,0.0
Mow your neighbor's lawn,charity,1,0.0
Improve your touch typing,busywork,1,0.0
Rearrange and organize your room,busywork,1,0.0
Volunteer at a local animal shelter,charity,1,0.1
